,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,0.625,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,(+/-)
29,Nikola Vucevic,ORL,28,41,18,23,30.7,20.1,8.4,15.9,52.5,1.2,3.1,38.1,2.2,2.8,76.7,2.5,9.4,12,3.7,2,1,1.1,2,44.4,28,1,0.2
30,Luka Doncic,DAL,19,41,19,22,32.1,20,6.6,15.1,43.5,2.4,6.5,36.8,4.5,6.2,73.5,1.1,5.6,6.7,5,3.2,1.1,0.3,1.8,36.6,7,0,0.5
31,Julius Randle,NOP,24,42,20,22,29.4,19.9,7.3,13.5,54.3,0.6,1.8,31.2,4.7,6.4,72.6,2.3,7,9.3,2.9,2.5,0.6,0.6,3.4,36.3,21,1,1.5
32,Victor Oladipo,IND,26,31,21,10,32.5,19.8,7.3,16.7,43.8,2.2,6.2,34.7,3,4.2,72.9,0.5,5.4,5.8,5.2,2.4,1.7,0.4,2,38.3,5,0,3
33,Tim Hardaway Jr.,NYK,26,39,10,29,32.9,19.8,6.4,16.3,39.2,2.6,7.5,34.7,4.4,5.2,85.6,0.6,2.8,3.4,2.7,1.9,0.9,0.1,2.3,29.2,1,0,-6.7
34,Danilo Gallinari,LAC,30,41,23,18,31.8,19.5,5.9,13,45.4,2.4,5.4,44.4,5.3,5.8,91.1,1,5.2,6.1,2.5,1.4,0.7,0.3,2,32.2,3,0,0.5
35,Jimmy Butler,PHI,29,34,19,15,33.2,19.5,6.9,14.6,47.1,1.3,3.4,37.9,4.5,5.4,83.7,1.8,3.2,4.9,3.6,1.6,2.1,0.6,1.8,37.3,2,0,0.1
36,Nikola Jokic,DEN,23,41,28,13,31.3,19.2,7.3,14.5,50.1,1.1,3.5,31.3,3.6,4.3,84.1,2.8,7.4,10.2,7.5,3.2,1.4,0.8,2.8,46,27,5,4.1
37,John Collins,ATL,21,26,9,17,30,19.1,7.8,13.3,58.2,0.8,2.3,35.6,2.7,3.8,71,4,6.6,10.5,2.3,2.3,0.2,0.4,3.3,34.9,16,0,-1
38,Kevin Love,CLE,30,4,0,4,33.9,19,5.3,16.3,32.3,1.8,6,29.2,6.8,8.3,81.8,2.5,11,13.5,3.5,2.5,0.3,0.3,3.5,39.5,3,0,-8.5
39,Derrick Rose,MIN,30,33,14,19,29.7,18.9,7.4,15.2,48.6,1.6,3.4,46.8,2.6,3.1,84.2,0.6,2.2,2.8,4.8,1.8,0.7,0.3,1.2,30.8,1,0,1.4
40,Lou Williams,LAC,32,38,24,14,25.3,18.6,5.9,13.9,42.5,1.4,3.5,39.1,5.4,6,90.7,0.4,2.2,2.6,4.9,2.4,0.6,0.1,0.9,28.7,3,0,4.4
41,Kyle Kuzma,LAL,23,41,23,18,32.7,18.6,7,15.2,46.4,1.8,6,30,2.7,3.5,76.8,0.7,5.1,5.8,2.4,1.9,0.6,0.4,2.2,30.4,2,0,1.5
42,T.J. Warren,PHX,25,38,10,28,31.6,18.5,7.1,14.5,49,1.9,4.4,42.9,2.4,2.9,81.1,0.7,3.4,4.1,1.6,1.2,1.2,0.7,2.9,30.1,0,0,-3.9
43,Caris LeVert,BKN,24,14,6,8,29.7,18.4,6.9,14.6,47.5,1.4,4.4,31.1,3.1,4.4,72.1,1,3.3,4.3,3.7,2.1,1.2,0.4,2.4,31.6,0,0,-1.9
44,JJ Redick,PHI,34,41,26,15,31.1,18.3,6.2,14,44.3,2.9,7.8,37.4,3,3.4,89.9,0.2,2,2.2,2.8,1.4,0.4,0.2,1.9,25.6,0,0,4.5
